Date,Close/Last,Volume,Open,High,Low
12/22/2023,$488.30,25250680,$491.95,$493.83,$484.67
12/21/2023,$489.90,30042540,$488.11,$490.95,$484.19
12/20/2023,$481.11,39789440,$496.55,$499.99,$480.98
12/19/2023,$496.04,46444450,$494.24,$497.00,$488.95
12/18/2023,$500.77,41258720,$494.00,$504.3299,$491.50
12/15/2023,$488.90,47994760,$481.94,$494.04,$481.20
12/14/2023,$483.50,39123170,$483.90,$486.70,$474.22
12/13/2023,$480.88,44779190,$476.29,$485.94,$476.08
12/12/2023,$476.57,37238690,$460.46,$476.66,$460.46
12/11/2023,$466.27,50972810,$474.91,$475.31,$458.30
12/08/2023,$475.06,35922370,$465.95,$477.4085,$465.50
12/07/2023,$465.96,35082260,$457.00,$466.29,$456.04
12/06/2023,$455.03,38058960,$472.145,$473.87,$454.12
12/05/2023,$465.66,37171760,$454.66,$466.00,$452.71
12/04/2023,$455.10,43754340,$460.77,$460.77,$450.10
12/01/2023,$467.65,36931700,$465.25,$472.00,$461.87
11/30/2023,$467.70,52624660,$480.24,$481.10,$464.22
11/29/2023,$481.40,38200470,$483.79,$487.62,$478.60
11/28/2023,$478.21,40149090,$482.36,$483.229,$474.73
11/27/2023,$482.42,39566190,$478.00,$485.30,$476.52
11/24/2023,$477.76,29464460,$484.70,$489.21,$477.45
11/22/2023,$487.16,90064230,$498.52,$503.3494,$476.90
11/21/2023,$499.44,56574690,$501.26,$505.17,$492.22
11/20/2023,$504.09,41614260,$493.12,$505.48,$491.8101
11/17/2023,$492.98,32589690,$495.24,$497.17,$490.07
11/16/2023,$494.80,33975620,$486.79,$495.2469,$483.30
11/15/2023,$488.88,47549740,$499.35,$499.60,$482.00
11/14/2023,$496.56,41695390,$496.80,$498.34,$490.4001
11/13/2023,$486.20,38413570,$483.20,$491.16,$480.9901
11/10/2023,$483.35,42244160,$475.00,$484.72,$472.8301
11/09/2023,$469.50,54049600,$474.67,$482.30,$467.50
11/08/2023,$465.74,34671890,$461.00,$468.67,$459.68
11/07/2023,$459.55,34316550,$457.19,$462.18,$451.575
11/06/2023,$457.51,40073340,$452.845,$459.35,$448.99
11/03/2023,$450.05,42460960,$440.20,$453.0899,$437.23
11/02/2023,$435.06,40917190,$433.28,$438.84,$428.94
11/01/2023,$423.25,43759290,$408.84,$423.81,$408.69
10/31/2023,$407.80,51796870,$404.50,$408.79,$392.3001
10/30/2023,$411.61,38802810,$410.87,$417.66,$404.81
10/27/2023,$405.00,41678440,$411.30,$412.06,$400.15
10/26/2023,$403.26,54100130,$418.53,$422.5555,$398.8019
10/25/2023,$417.79,39837920,$433.98,$436.50,$415.55
10/24/2023,$436.63,40146340,$430.77,$436.97,$426.91
10/23/2023,$429.75,47853050,$412.29,$432.4799,$409.45
10/20/2023,$413.87,47726610,$418.90,$424.70,$410.78
10/19/2023,$421.01,50123310,$428.11,$432.97,$418.82
10/18/2023,$421.96,62729430,$425.91,$432.19,$418.25
10/17/2023,$439.38,81233270,$440.00,$447.54,$424.80
10/16/2023,$460.95,37509920,$450.63,$462.25,$449.12
10/13/2023,$454.61,47542600,$469.60,$471.16,$452.80
10/12/2023,$469.45,48132500,$467.77,$476.09,$463.30
10/11/2023,$468.06,37813690,$461.96,$468.59,$460.50
10/10/2023,$457.98,36858210,$453.10,$462.59,$450.88
10/09/2023,$452.73,40967470,$448.42,$456.05,$443.68
10/06/2023,$457.62,43443600,$441.93,$457.89,$440.26
10/05/2023,$446.88,39348310,$440.50,$449.00,$438.88
10/04/2023,$440.41,36182090,$437.42,$441.43,$432.9201
10/03/2023,$435.17,47084950,$448.08,$451.30,$432.46
10/02/2023,$447.82,43329820,$440.30,$451.75,$438.61
